Case ID;CSAT Rated Group Name;Group Name History;RESOLUTION GROUPS;RESOLUTION GROUPS BUCKETS;RESOLUTION TIME (Days);RESOLVED IN SLA;ISSUE CLASSIFICATION;FIRST TOUCH RESOLUTION;CSAT Rating Received;CLASSIFICATION;Start of Month
5008W00001AxBM1QAN;ES Support T1;APAC Support T1,APAC Support T1,ES Support T1,ES Support T1,ES Support T1,ES Support T1;6;D: 3+ GROUPS;4,4;0;Payments :: Onboarding;0;4;PROMOTER;1/9/2023 00:00
5008W000016ufQVQAY;FR Support T1;APAC Support T1,APAC Support T1,FR Support T1,FR Support T1,FR Support T1,FR Support T1,FR Support T1,FR Support T1,Escalation Review - Global Markets,FR Support T1,FR Support T1;11;D: 3+ GROUPS;8,6;0;Account Onboarding :: Account Approval State;0;5;PROMOTER;1/6/2023 00:00
5008W000014RvdHQAS;BR Support T1;APAC Support T1,BR Support T1,BR Support T1,BR Support T1,BR Support T1;5;D: 3+ GROUPS;2,2;1;Account Onboarding :: Entity and Identity Data;0;5;PROMOTER;1/4/2023 00:00
5008W00001G4APRQA3;DACH Support T1;APAC Support T1,DACH Support T1,DACH Support T1;3;C: 3 GROUPS;2,1;1;Account Onboarding :: Entity and Identity Data;0;2;DETRACTOR;1/11/2023 00:00
5008W00001Cs2UEQAZ;DACH Support T1;APAC Support T1,DACH Support T1,DACH Support T1,DACH Support T1;4;D: 3+ GROUPS;2,7;1;Other :: Other;0;1;DETRACTOR;1/10/2023 00:00
5008W00001Kf5xLQAR;BR Support T1;APAC Support T1,ES Support T1,BR Support T1,BR Support T1,BR Support T1,BR Support T1;6;D: 3+ GROUPS;0,9;1;Payouts :: Payout Status;0;5;PROMOTER;1/5/2024 00:00
5008W00001C3WT8QAN;ES Support T1;APAC Support T1,ES Support T1,ES Support T1;3;C: 3 GROUPS;5,8;0;Account Onboarding :: Entity and Identity Data;0;3;DETRACTOR;1/9/2023 00:00
5008W00001FcfZqQAJ;ES Support T1;APAC Support T1,ES Support T1,ES Support T1;3;C: 3 GROUPS;3,3;0;Payments :: Refund;0;1;DETRACTOR;1/11/2023 00:00
5008W00001GbmmbQAB;ES Support T1;APAC Support T1,ES Support T1,ES Support T1;3;C: 3 GROUPS;0,9;1;Account Onboarding :: Entity and Identity Data;0;2;DETRACTOR;1/12/2023 00:00
5008W00001HKyzsQAD;ES Support T1;APAC Support T1,ES Support T1,ES Support T1;3;C: 3 GROUPS;1,4;1;Connect Accounts :: Account Capabilities;0;1;DETRACTOR;1/1/2024 00:00
5008W00001AymuYQAR;ES Support T1;APAC Support T1,ES Support T1,ES Support T1,ES Support T1;4;D: 3+ GROUPS;8,1;0;Payouts :: Payout Reconciliation;0;5;PROMOTER;1/9/2023 00:00
5008W00001HxsjvQAB;ES Support T1;APAC Support T1,ES Support T1,ES Support T1,ES Support T1;4;D: 3+ GROUPS;1,8;1;Payments :: Dispute;0;1;DETRACTOR;1/1/2024 00:00
5008W00001IVvD3QAL;ES Support T1;APAC Support T1,ES Support T1,ES Support T1,ES Support T1;4;D: 3+ GROUPS;2,0;1;Account Onboarding :: Entity and Identity Data;0;5;PROMOTER;1/2/2024 00:00
5008W000010Nj7KQAS;FR Support T1;APAC Support T1,FR Support T1,FR Support T1,FR Support T1;4;D: 3+ GROUPS;0,7;1;Account General :: Login;0;5;PROMOTER;1/1/2023 00:00
5008W00001Gcn4eQAB;BR Support T1;BR Operations T1/Ombudsman,BR Operations T1/Ombudsman,BR Support T1,BR Support T1,BR Support T1;5;D: 3+ GROUPS;4,7;0;Account Onboarding :: Entity and Identity Data;0;5;PROMOTER;1/12/2023 00:00
5008W000015Xbl5QAC;BR Support T1;BR Operations T1/Ombudsman,BR Support T1,BR Operations T1/Ombudsman,BR Support T1,Escalation Review - Global Markets,BR Support T1;6;D: 3+ GROUPS;15,5;0;Payouts :: Bank Account and Card;0;5;PROMOTER;1/5/2023 00:00
5008W000015Vr4aQAC;BR Support T1;BR Operations T1/Ombudsman,BR Support T1,BR Support T1;3;C: 3 GROUPS;0,1;1;End User Queries :: ;0;3;DETRACTOR;1/5/2023 00:00
5008W000017ucWnQAI;BR Support T1;BR Operations T1/Ombudsman,BR Support T1,BR Support T1;3;C: 3 GROUPS;0,5;1;Account General :: Other;0;2;DETRACTOR;1/6/2023 00:00
5008W000018zNWbQAM;BR Support T1;BR Operations T1/Ombudsman,BR Support T1,BR Support T1;3;C: 3 GROUPS;1,1;1;Connect Accounts :: General Capabilities;0;3;DETRACTOR;1/7/2023 00:00
5008W00001DmTx6QAF;BR Support T1;BR Operations T1/Ombudsman,BR Support T1,BR Support T1;3;C: 3 GROUPS;0,9;1;Analytics Products :: Query assistance (Sigma);0;4;PROMOTER;1/10/2023 00:00
5008W00001Ewqc5QAB;BR Support T1;BR Operations T1/Ombudsman,BR Support T1,BR Support T1;3;C: 3 GROUPS;0,0;1;Account Onboarding :: Entity and Identity Data;0;5;PROMOTER;1/11/2023 00:00
5008W00001Ey23tQAB;BR Support T1;BR Operations T1/Ombudsman,BR Support T1,BR Support T1;3;C: 3 GROUPS;0,2;1;Payouts :: Payout Status;0;3;DETRACTOR;1/11/2023 00:00
5008W00001IWdxuQAD;BR Support T1;BR Operations T1/Ombudsman,BR Support T1,BR Support T1;3;C: 3 GROUPS;0,2;1;Account Onboarding :: Starting on Stripe;0;5;PROMOTER;1/2/2024 00:00
5008W00001J4ZdbQAF;BR Support T1;BR Operations T1/Ombudsman,BR Support T1,BR Support T1;3;C: 3 GROUPS;0,7;1;Payouts :: Payout Status;0;3;DETRACTOR;1/3/2024 00:00
5008W00001DoaU1QAJ;PT Support T1;BR Operations T1/Ombudsman,BR Support T1,BR Support T1,BR Operations T1/Ombudsman,BR Support T1,PT Support T1,PT Support T1;7;D: 3+ GROUPS;6,1;0;Payments :: Declines and Payment Statuses;0;4;PROMOTER;1/10/2023 00:00
5008W00001Cpb6FQAR;BR Support T1;BR Operations T1/Ombudsman,BR Support T1,BR Support T1,BR Support T1;4;D: 3+ GROUPS;4,4;0;Account General :: Login;0;4;PROMOTER;1/9/2023 00:00
5008W00001Fccx5QAB;BR Support T1;BR Operations T1/Ombudsman,BR Support T1,BR Support T1,BR Support T1;4;D: 3+ GROUPS;1,4;1;Payouts :: Payout Status;0;1;DETRACTOR;1/11/2023 00:00
5008W00001IWfnnQAD;BR Support T1;BR Operations T1/Ombudsman,BR Support T1,BR Support T1,BR Support T1;4;D: 3+ GROUPS;0,1;1;Account Onboarding :: Account Country Availability;0;5;PROMOTER;1/2/2024 00:00
5008W00001J6R3cQAF;BR Support T1;BR Operations T1/Ombudsman,BR Support T1,BR Support T1,BR Support T1;4;D: 3+ GROUPS;8,0;0;Account General :: Unprompted Identity or Entity data update;0;5;PROMOTER;1/3/2024 00:00
5008W00001KbjlhQAB;BR Support T1;BR Operations T1/Ombudsman,BR Support T1,BR Support T1,BR Support T1;4;D: 3+ GROUPS;2,5;1;End User Queries :: ;0;1;DETRACTOR;1/5/2024 00:00
5008W00001I16wDQAR;PT Support T1;BR Operations T1/Ombudsman,BR Support T1,BR Support T1,BR Support T1,BR Operations T1/Ombudsman,BR Support T1,BR Support T1,PT Support T1,PT Support T1,PT Support T1,PT Support T1,PT Support T1;12;D: 3+ GROUPS;5,9;0;Account Onboarding :: Stripe ToS and Business Suitability;0;5;PROMOTER;1/2/2024 00:00
5008W000016sOvBQAU;BR Support T1;BR Operations T1/Ombudsman,BR Support T1,BR Support T1,BR Support T1,BR Support T1;5;D: 3+ GROUPS;1,1;1;Payments :: Other;0;3;DETRACTOR;1/6/2023 00:00
5008W000017vrDxQAI;BR Support T1;BR Operations T1/Ombudsman,BR Support T1,BR Support T1,BR Support T1,BR Support T1;5;D: 3+ GROUPS;3,9;0;Payments :: Other;0;5;PROMOTER;1/7/2023 00:00
5008W00001KcKArQAN;BR Support T1;BR Operations T1/Ombudsman,BR Support T1,BR Support T1,BR Support T1,BR Support T1;5;D: 3+ GROUPS;2,0;1;Payouts :: Payout Status;0;3;DETRACTOR;1/5/2024 00:00
5008W00001JmEJsQAN;BR Support T1;BR Operations T1/Ombudsman,BR Support T1,BR Support T1,BR Support T1,BR Support T1,BR Support T1;6;D: 3+ GROUPS;2,0;1;Payouts :: Payout Configuration;0;5;PROMOTER;1/4/2024 00:00
5008W000015XZB8QAO;BR Support T1;BR Operations T1/Ombudsman,BR Support T1,BR Support T1,BR Support T1,BR Support T1,BR Support T1,BR Support T1;7;D: 3+ GROUPS;2,3;1;Payouts :: Payout Status;0;1;DETRACTOR;1/5/2023 00:00
5008W00001G7KTbQAN;BR Support T1;BR Operations T1/Ombudsman,BR Support T1,BR Support T1,BR Support T1,BR Support T1,BR Support T1,BR Support T1;7;D: 3+ GROUPS;6,9;0;Account General :: Other;0;4;PROMOTER;1/12/2023 00:00
5008W00000zdodjQAA;BR Support T1;BR Operations T1/Ombudsman,BR Support T1,BR Support T1,BR Support T1,BR Support T1,Escalation Review - Global Markets,LATAM Support T2,BR Support T1,BR Support T1,BR Support T1,BR Support T1,BR Support T1,BR Support T1;13;D: 3+ GROUPS;16,2;0;Account Onboarding :: Entity and Identity Data;0;4;PROMOTER;1/1/2023 00:00
5008W00001FdX5hQAF;BR Support T1;BR Operations T1/Ombudsman,BR Support T1,BR Support T1,BR Support T1,BR Support T1,Escalation Review,BR Support T1,BR Support T1;8;D: 3+ GROUPS;3,7;0;Payouts :: Payout Status;0;1;DETRACTOR;1/11/2023 00:00
5008W00001Cq4nEQAR;PT Support T1;BR Operations T1/Ombudsman,BR Support T1,BR Support T1,BR Support T1,PT Support T1,PT Support T1;6;D: 3+ GROUPS;10,9;0;Payments :: Refund;0;4;PROMOTER;1/9/2023 00:00
5008W00001HKue2QAD;BR Support T1;BR Operations T1/Ombudsman,BR Support T1,Escalation Review,BR Support T1,Escalation Review,BR Support T1,BR Support T1,BR Support T1,BR Support T1;9;D: 3+ GROUPS;4,5;0;Account Onboarding :: Entity and Identity Data;0;5;PROMOTER;1/1/2024 00:00
