Fecha,Intervalo,Forecast Ordenes,Ordenes,% Desv Ordenes,Dif Ordenes,Cancelados,% SS Cancelados,Forecast % CR,Contact Rate,% Desv. CR,Forecast,Inflow,% Desvi. Inglow,Diff. Inflow,Cierres,Asignados,% Sla Forecast,% SLA,% Desv SLA,QFRT (Min) Forecast,#QFRT (Min),% Desv QFRT,RT (Min),AHT (min) Forecast,AHT (Min),TFRT (Total first response time),AWT (Tiempo Medio de Espera),CWD (Closing wait done),SAT (support assignation time),CWT (Close wainting time),% Muestras,% Survey_rate,% answer_rate,Csat_Gral,Enc.Enviadas Gral,Enc. Realizadas Comp,Enc. Positivas Comp,Enc. Negativo Comp,Enc. Neutros Comp,% Dsat comp,Enc. Contestadas Only comp,Enc. Dsat Only Comp,% Dsat Only Agent,Enc. Contestadas Partial comp,Enc. Dsat Partial comp,% Dsat Partial Automated,Enc. Contestadas full_automated comp,Enc. Dsat Full Automated Comp,% Dsat full Automated Comp,%_Auto_Controlados,Q Reopen Agent // Recontacto,#% Reopen CU // % Recontacto,Q Snoozed CU,% Snoozed CU,Q_Reopen,% Reopen,Dentro Sla,Fuera Sla,Sin FRT,%FRT_Vacio,Horas Requeridas,Horas Conexion,PD general,PD Agente,HC Requerido,- HC Real
2024-11-25 00:00:00,1899-12-30 00:00:00,3051,2625,"-13,96 %",-426,279,"10,63 %","0,71 %","6,36 %","5,65 %",174,167,"-3,81 %",-7,121,65,"90,63 %","88,02 %","-2,60 %",76.83333333333331,12.911989257028113,"-83,19 %",386.46688472222235,7.072843217370651,6.793164759036143,1.0023146464646464,11.909674610563467,1.309853125,255.98803970588236,1.2828231292517007,"29,94 %","94,61 %","31,65 %",2.8,158,50,19,25,6,"50,00 %",13,8,"61,54 %",37,17,"45,95 %",,,,"0,00 %",29,"17,37 %",1,"0,60 %",,,147,20,1,"0,60 %",20.207906777770518,40.84138891666798,"7,23",6.4558643939462375,40.415813555541035,80
2024-11-25 00:00:00,1899-12-30 00:30:00,2506,2086,"-16,77 %",-420,290,"13,90 %","0,61 %","6,90 %","6,30 %",122,144,"18,37 %",22,97,74,"90,63 %","80,56 %","-10,07 %",213.15000000000006,11.903084032634034,"-94,42 %",155.31226269841272,7.072843217370651,5.348101864801864,1.254487323943662,10.648596708690372,1.3435325870646766,217.88040404761907,1.3440298507462685,"37,50 %","97,92 %","38,30 %",2.314814814814815,141,54,15,33,6,"61,11 %",7,2,"28,57 %",47,31,"65,96 %",,,,"0,00 %",33,"22,92 %",,,,,116,28,1,"0,69 %",14.411157274068707,37.493055549999,"7,04",5.928636776794097,28.822314548137413,59
2024-11-25 00:00:00,1899-12-30 01:00:00,1798,1327,"-26,19 %",-471,165,"12,43 %","0,67 %","9,87 %","9,20 %",96,131,"36,13 %",35,71,73,"90,63 %","78,63 %","-12,00 %",76.83333333333331,34.58149418604651,"-54,99 %",174.38052196969696,7.072843217370651,5.451179328165376,23.648240051679583,10.93325413436693,1.3031643274853801,49.515198275862076,1.3040935672514622,"27,48 %","96,95 %","28,35 %",2.4166666666666665,127,36,11,22,3,"61,11 %",2,0,"0,00 %",34,22,"64,71 %",,,,"0,00 %",27,"20,61 %",,,,,103,28,2,"1,53 %",13.029348728297089,31.071666633335,"6,83",6.209021254608203,26.058697456594178,57
2024-11-25 00:00:00,1899-12-30 01:30:00,1471,992,"-32,57 %",-479,129,"13,00 %","0,55 %","8,17 %","7,62 %",65,81,"25,15 %",16,53,32,"90,63 %","88,89 %","-1,74 %",76.83333333333331,6.777879113924049,"-91,18 %",258.60621047008544,7.072843217370651,6.053494936708862,0.8820955696202532,5.8957835443037965,0.6715840425531915,105.74834285714284,0.6583333333333333,"39,51 %","100,00 %","39,51 %",2.5,81,32,12,19,1,"59,38 %",8,3,"37,50 %",24,16,"66,67 %",,,,"6,25 %",22,"27,16 %",1,"1,23 %",,,72,9,2,"2,47 %",9.424829039608719,31.894166666666006,"3,94",3.661362583037344,18.849658079217438,48
2024-11-25 00:00:00,1899-12-30 02:00:00,1090,698,"-35,94 %",-392,90,"12,89 %","0,55 %","6,59 %","6,04 %",48,46,"-3,99 %",-2,38,22,"90,63 %","95,65 %","5,03 %",76.83333333333331,1.0041579545454544,"-98,69 %",86.942373015873,7.072843217370651,8.575401893939395,0.46988750000000007,0.5342704545454544,0.7290446969696969,1.4846715277777782,0.7287878787878788,"36,96 %","97,83 %","37,78 %",2.2941176470588234,45,17,5,11,1,"64,71 %",2,1,"50,00 %",15,10,"66,67 %",,,,"0,00 %",10,"21,74 %",1,"2,17 %",,,44,2,2,"4,35 %",8.058197534436797,27.282222216666998,"3,07",2.2529762334484027,16.116395068873594,46
2024-11-25 00:00:00,1899-12-30 02:30:00,817,556,"-31,97 %",-261,68,"12,23 %","0,61 %","5,58 %","4,97 %",40,31,"-22,06 %",-9,17,12,"90,63 %","93,55 %","2,92 %",76.83333333333331,0.9022817204301075,"-98,83 %",55.81602849462365,7.072843217370651,6.9309037634408615,0.8655301075268816,0.03675161290322582,0.8595850877192982,57.096195614035075,0.8596491228070176,"25,81 %","100,00 %","25,81 %",1.625,31,8,1,7,,"87,50 %",1,0,"0,00 %",7,7,"100,00 %",,,,"0,00 %",5,"16,13 %",,,,,29,2,0,"0,00 %",7.367293261550989,28.093611100001,"1,45",1.5504091361749117,14.734586523101978,43
2024-11-25 00:00:00,1899-12-30 03:00:00,599,351,"-41,43 %",-248,46,"13,11 %","0,59 %","9,69 %","9,09 %",29,34,"19,20 %",5,29,13,"90,63 %","97,06 %","6,43 %",213.15000000000006,6.371986274509805,"-97,01 %",367.043152020202,7.072843217370651,6.443282843137254,0.9509838235294118,5.421002450980393,0.44943333333333335,554.7896222222222,0.4475,"29,41 %","94,12 %","31,25 %",3,32,10,5,5,,"50,00 %",3,0,"0,00 %",7,5,"71,43 %",,,,"0,00 %",4,"11,76 %",,,4,"11,76 %",33,1,0,"0,00 %",5.835486391520043,24.749166683334,"2,28",1.8435956128186886,11.670972783040085,42
2024-11-25 00:00:00,1899-12-30 03:30:00,490,270,"-44,94 %",-220,34,"12,59 %","0,65 %","6,30 %","5,64 %",26,17,"-33,75 %",-9,13,11,"90,63 %","94,12 %","3,49 %",76.83333333333331,0.6713156862745098,"-99,13 %",552.2009323529413,7.072843217370651,6.324376470588236,0.6577343137254902,0.013581372549019588,0.9656972222222221,1536.7118444444445,0.9694444444444444,"47,06 %","100,00 %","47,06 %",2.625,17,8,3,5,,"62,50 %",2,1,"50,00 %",6,4,"66,67 %",,,,"0,00 %",4,"23,53 %",,,3,"17,65 %",16,1,0,"0,00 %",5.835486391520043,22.651944449999,"1,40",0.9939098660170911,11.670972783040085,39
2024-11-25 00:00:00,1899-12-30 04:00:00,436,211,"-51,59 %",-225,31,"14,69 %","0,73 %","10,43 %","9,70 %",25,22,"-13,07 %",-3,6,15,"90,63 %","90,91 %","0,28 %",76.83333333333331,1.0685886363636363,"-98,61 %",292.57909833333326,7.072843217370651,4.606314393939394,1.0235174242424243,0.04507121212121201,0.4556444444444444,669.8353000000001,0.45555555555555555,"45,45 %","100,00 %","45,45 %",1.6,22,10,1,8,1,"80,00 %",3,3,"100,00 %",7,5,"71,43 %",,,,"0,00 %",11,"50,00 %",,,16,"72,73 %",20,2,0,"0,00 %",5.835486391520043,21.013888883334,"1,27",1.3333333333333333,11.670972783040085,37
2024-11-25 00:00:00,1899-12-30 04:30:00,381,162,"-57,52 %",-219,25,"15,43 %","0,70 %","16,67 %","15,97 %",21,27,"26,90 %",6,10,17,"90,63 %","92,59 %","1,97 %",76.83333333333331,0.6789092592592593,"-99,12 %",21.364965999999995,7.072843217370651,4.902421604938271,0.6647981481481481,0.014111111111111185,0.9704349999999999,12.66134,0.9733333333333333,"44,44 %","100,00 %","44,44 %",2.6666666666666665,27,12,4,6,2,"50,00 %",1,1,"100,00 %",11,5,"45,45 %",,,,"0,00 %",6,"22,22 %",,,20,"74,07 %",25,2,0,"0,00 %",5.835486391520043,19.997499999999,"1,69",1.68732423705871,11.670972783040085,35
